scenarioId,mode,repetitionIndex,status,bestFitness,hardViolations,softPenalty,generationsRun,stagnatedEarly,firstFeasibleGeneration,preGADurationMs,ssaDurationMs,gaDurationMs,totalDurationMs,ssaWouldHavePrunedCoordinates,ssaWouldHaveDeclaredInfeasible
feasible-easy,without-ssa,18,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2202,2202,6,false
feasible-easy,without-ssa,19,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2206,2206,6,false
feasible-easy,without-ssa,20,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2208,2208,6,false
feasible-easy,without-ssa,21,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2190,2190,6,false
feasible-easy,without-ssa,22,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2246,2246,6,false
feasible-easy,without-ssa,23,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2227,2227,6,false
feasible-easy,without-ssa,24,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2197,2198,6,false
feasible-easy,without-ssa,25,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2181,2181,6,false
feasible-easy,without-ssa,26,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2255,2255,6,false
feasible-easy,without-ssa,27,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2231,2231,6,false
feasible-easy,without-ssa,28,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2216,2216,6,false
feasible-easy,without-ssa,29,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2222,2222,6,false
feasible-tight,with-ssa,0,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2255,2255,6,false
feasible-tight,with-ssa,1,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2249,2249,6,false
feasible-tight,with-ssa,2,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2258,2258,6,false
feasible-tight,with-ssa,3,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2211,2211,6,false
feasible-tight,with-ssa,4,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2220,2220,6,false
feasible-tight,with-ssa,5,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2293,2293,6,false
feasible-tight,with-ssa,6,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2207,2208,6,false
feasible-tight,with-ssa,7,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2229,2230,6,false
feasible-tight,with-ssa,8,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2210,2210,6,false
feasible-tight,with-ssa,9,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2207,2207,6,false
feasible-tight,with-ssa,10,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2203,2203,6,false
feasible-tight,with-ssa,11,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2200,2200,6,false
feasible-tight,with-ssa,12,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2215,2215,6,false
feasible-tight,with-ssa,13,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2198,2198,6,false
feasible-tight,with-ssa,14,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2207,2208,6,false
feasible-tight,with-ssa,15,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2217,2217,6,false
feasible-tight,with-ssa,16,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2201,2202,6,false
feasible-tight,with-ssa,17,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2258,2259,6,false
feasible-tight,with-ssa,18,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2256,2257,6,false
feasible-tight,with-ssa,19,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2237,2237,6,false
feasible-tight,with-ssa,20,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2269,2269,6,false
feasible-tight,with-ssa,21,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2270,2271,6,false
feasible-tight,with-ssa,22,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2216,2216,6,false
feasible-tight,with-ssa,23,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2224,2224,6,false
feasible-tight,with-ssa,24,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2260,2260,6,false
feasible-tight,with-ssa,25,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2227,2227,6,false
feasible-tight,with-ssa,26,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2212,2213,6,false
feasible-tight,with-ssa,27,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2223,2224,6,false
feasible-tight,with-ssa,28,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2223,2223,6,false
feasible-tight,with-ssa,29,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2194,2195,6,false
feasible-tight,without-ssa,0,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2217,2217,6,false
feasible-tight,without-ssa,1,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2197,2197,6,false
feasible-tight,without-ssa,2,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2193,2193,6,false
feasible-tight,without-ssa,3,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2258,2258,6,false
feasible-tight,without-ssa,4,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2198,2198,6,false
feasible-tight,without-ssa,5,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2246,2246,6,false
feasible-tight,without-ssa,6,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2230,2230,6,false
feasible-tight,without-ssa,7,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2218,2218,6,false
